Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper1.pdf, AffiliationEntry
Q6.19, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1500/paper3.pdf, DocumentComponentEntry
Q6.20, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1500/paper4.pdf, DocumentComponentEntry
Q6.21, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1500/paper6.pdf, DocumentComponentEntry
Q6.22, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf, DocumentComponentEntry
Q6.23, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf, DocumentComponentEntry
Q6.24, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1514/paper1.pdf, DocumentComponentEntry
Q6.25, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1514/paper2.pdf, DocumentComponentEntry
Q6.26, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1514/paper3.pdf, DocumentComponentEntry
Q6.27, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1514/paper4.pdf, DocumentComponentEntry
Q6.28, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1514/paper5.pdf, DocumentComponentEntry
Q6.29, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1514/paper6.pdf, DocumentComponentEntry
Q6.30, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1405/paper06.pdf, DocumentComponentEntry
Q6.31, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1303/paper_3.pdf, DocumentComponentEntry
Q6.32, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1001/paper2.pdf, DocumentComponentEntry
Q6.33, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1006/paper5.pdf, DocumentComponentEntry
Q6.34, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pdf, DocumentComponentEntry
Q6.35, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf, DocumentComponentEntry
Q6.36, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1531/paper1.pdf, DocumentComponentEntry
Q6.37, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1309/paper2.pdf, DocumentComponentEntry
Q6.38, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1309/paper3.pdf, DocumentComponentEntry
Q6.39, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1313/paper_8.pdf, DocumentComponentEntry
Q6.40, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1315/paper9.pdf, DocumentComponentEntry
Q6.41, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1315/paper13.pdf, DocumentComponentEntry
Q6.42, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1320/paper_7.pdf, DocumentComponentEntry
Q6.43, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1320/paper_12.pdf, DocumentComponentEntry
Q6.44, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1320/paper_22.pdf, DocumentComponentEntry
Q6.45, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1320/paper_31.pdf, DocumentComponentEntry
Q7.1, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper1.pdf (or part of it), FundingAgencyEntry
Q7.2, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper2.pdf (or part of it), FundingAgencyEntry
Q7.3, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper3.pdf (or part of it), FundingAgencyEntry
Q7.4, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper4.pdf (or part of it), FundingAgencyEntry
Q7.5, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper5.pdf (or part of it), FundingAgencyEntry
Q7.6, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper6.pdf (or part of it), FundingAgencyEntry
Q7.7, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper7.pdf (or part of it), FundingAgencyEntry
Q7.8, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper8.pdf (or part of it), FundingAgencyEntry
Q7.9, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper9.pdf (or part of it), FundingAgencyEntry
Q7.10, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper1.pdf (or part of it), FundingAgencyEntry
Q7.11, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper2.pdf (or part of it), FundingAgencyEntry
Q7.12, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper3.pdf (or part of it), FundingAgencyEntry
Q7.13, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper4.pdf (or part of it), FundingAgencyEntry
Q7.14, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper5.pdf (or part of it), FundingAgencyEntry
Q7.15, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper6.pdf (or part of it), FundingAgencyEntry
Q7.16, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper7.pdf (or part of it), FundingAgencyEntry
Q7.17, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper1.pdf (or part of it), FundingAgencyEntry
Q7.18, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper2.pdf (or part of it), FundingAgencyEntry
Q7.19, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper3.pdf (or part of it), FundingAgencyEntry
Q7.20, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper4.pdf (or part of it), FundingAgencyEntry
Q7.21, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper6.pdf (or part of it), FundingAgencyEntry
Q7.22, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf (or part of it), FundingAgencyEntry
Q7.23, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf (or part of it), FundingAgencyEntry
Q7.24, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper1.pdf (or part of it), FundingAgencyEntry
Q7.25, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper2.pdf (or part of it), FundingAgencyEntry
Q7.26, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper3.pdf (or part of it), FundingAgencyEntry
Q7.27, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper4.pdf (or part of it), FundingAgencyEntry
Q7.28, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper5.pdf (or part of it), FundingAgencyEntry
Q7.29, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper6.pdf (or part of it), FundingAgencyEntry
Q7.30, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper06.pdf (or part of it), FundingAgencyEntry
Q7.31, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1303/paper_3.pdf (or part of it), FundingAgencyEntry
Q7.32, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1001/paper2.pdf (or part of it), FundingAgencyEntry
Q7.33, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1006/paper5.pdf (or part of it), FundingAgencyEntry
Q7.34, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pdf (or part of it), FundingAgencyEntry
Q7.35, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf (or part of it), FundingAgencyEntry
Q7.36, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper1.pdf (or part of it), FundingAgencyEntry
Q7.37, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1309/paper2.pdf (or part of it), FundingAgencyEntry
Q7.38, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1309/paper3.pdf (or part of it), FundingAgencyEntry
Q7.39, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_8.pdf (or part of it), FundingAgencyEntry
Q7.40, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper9.pdf (or part of it), FundingAgencyEntry
Q7.41, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper13.pdf (or part of it), FundingAgencyEntry
Q7.42, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_7.pdf (or part of it), FundingAgencyEntry
Q7.43, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_12.pdf (or part of it), FundingAgencyEntry
Q7.44, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_22.pdf (or part of it), FundingAgencyEntry
Q7.45, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_31.pdf (or part of it), FundingAgencyEntry
Q8.1, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper1.pdf (or part of it), ProjectEntry
Q8.2, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper2.pdf (or part of it), ProjectEntry
Q8.3, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper3.pdf (or part of it), ProjectEntry
Q8.4, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper4.pdf (or part of it), ProjectEntry
Q8.5, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper5.pdf (or part of it), ProjectEntry
Q8.6, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper6.pdf (or part of it), ProjectEntry
Q8.7, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper7.pdf (or part of it), ProjectEntry
Q8.8, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper8.pdf (or part of it), ProjectEntry
Q8.9, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1518/paper9.pdf (or part of it), ProjectEntry
Q8.10, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper1.pdf (or part of it), ProjectEntry
Q8.11, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper2.pdf (or part of it), ProjectEntry
Q8.12, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper3.pdf (or part of it), ProjectEntry
Q8.13, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper4.pdf (or part of it), ProjectEntry
Q8.14, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper5.pdf (or part of it), ProjectEntry
Q8.15, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper6.pdf (or part of it), ProjectEntry
Q8.16, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1521/paper7.pdf (or part of it), ProjectEntry
Q8.17, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper1.pdf (or part of it), ProjectEntry
Q8.18, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper2.pdf (or part of it), ProjectEntry
Q8.19, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper3.pdf (or part of it), ProjectEntry
Q8.20, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper4.pdf (or part of it), ProjectEntry
Q8.21, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper6.pdf (or part of it), ProjectEntry
Q8.22, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf (or part of it), ProjectEntry
Q8.23, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf (or part of it), ProjectEntry
Q8.24, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper1.pdf (or part of it), ProjectEntry
Q8.25, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper2.pdf (or part of it), ProjectEntry
Q8.26, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper3.pdf (or part of it), ProjectEntry
Q8.27, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper4.pdf (or part of it), ProjectEntry
Q8.28, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper5.pdf (or part of it), ProjectEntry
Q8.29, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1514/paper6.pdf (or part of it), ProjectEntry
Q8.30, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper06.pdf (or part of it), ProjectEntry
Q8.31, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1303/paper_3.pdf (or part of it), ProjectEntry
Q8.32, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1001/paper2.pdf (or part of it), ProjectEntry
Q8.33, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1006/paper5.pdf (or part of it), ProjectEntry
Q8.34, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pdf (or part of it), ProjectEntry
Q8.35, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf (or part of it), ProjectEntry
Q8.36, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper1.pdf (or part of it), ProjectEntry
Q8.37, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1309/paper2.pdf (or part of it), ProjectEntry
Q8.38, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1309/paper3.pdf (or part of it), ProjectEntry
Q8.39, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_8.pdf (or part of it), ProjectEntry
Q8.40, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper9.pdf (or part of it), ProjectEntry
Q8.41, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper13.pdf (or part of it), ProjectEntry
Q8.42, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_7.pdf (or part of it), ProjectEntry
Q8.43, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_12.pdf (or part of it), ProjectEntry
Q8.44, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_22.pdf (or part of it), ProjectEntry
Q8.45, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_31.pdf (or part of it), ProjectEntry
