Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, AffiliationEntry
Q6.38, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf, DocumentComponentEntry
Q6.39, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1769/paper01.pdf, DocumentComponentEntry
Q6.40, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1769/paper09.pdf, DocumentComponentEntry
Q7.1, Identify the footnotes in the paper http://ceur-ws.org/Vol-1006/paper2.pdf, FoonoteEntry
Q7.2, Identify the footnotes in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, FoonoteEntry
Q7.3, Identify the footnotes in the paper http://ceur-ws.org/Vol-1531/paper8.pdf, FoonoteEntry
Q7.4, Identify the footnotes in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, FoonoteEntry
Q7.5, Identify the footnotes in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, FoonoteEntry
Q7.6, Identify the footnotes in the paper http://ceur-ws.org/Vol-1500/paper3.pdf, FoonoteEntry
Q7.7, Identify the footnotes in the paper http://ceur-ws.org/Vol-1315/paper15.pdf, FoonoteEntry
Q7.8, Identify the footnotes in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, FoonoteEntry
Q7.9, Identify the footnotes in the paper http://ceur-ws.org/Vol-1116/paper8.pdf, FoonoteEntry
Q7.10, Identify the footnotes in the paper http://ceur-ws.org/Vol-1123/paper4.pdf, FoonoteEntry
Q7.11, Identify the footnotes in the paper http://ceur-ws.org/Vol-1123/paper5.pdf, FoonoteEntry
Q7.12, Identify the footnotes in the paper http://ceur-ws.org/Vol-1746/paper-13.pdf, FoonoteEntry
Q7.13, Identify the footnotes in the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf, FoonoteEntry
Q7.14, Identify the footnotes in the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf, FoonoteEntry
Q7.15, Identify the footnotes in the paper http://ceur-ws.org/Vol-1324/paper_4.pdf, FoonoteEntry
Q7.16, Identify the footnotes in the paper http://ceur-ws.org/Vol-1324/paper_10.pdf, FoonoteEntry
Q7.17, Identify the footnotes in the paper http://ceur-ws.org/Vol-1771/paper3.pdf, FoonoteEntry
Q7.18, Identify the footnotes in the paper http://ceur-ws.org/Vol-1771/paper13.pdf, FoonoteEntry
Q7.19, Identify the footnotes in the paper http://ceur-ws.org/Vol-1758/paper3.pdf, FoonoteEntry
Q7.20, Identify the footnotes in the paper http://ceur-ws.org/Vol-1749/paper_008.pdf, FoonoteEntry
Q7.21, Identify the footnotes in the paper http://ceur-ws.org/Vol-1116/paper6.pdf, FoonoteEntry
Q7.22, Identify the footnotes in the paper http://ceur-ws.org/Vol-1116/paper7.pdf, FoonoteEntry
Q7.23, Identify the footnotes in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf, FoonoteEntry
Q7.24, Identify the footnotes in the paper http://ceur-ws.org/Vol-1405/paper-06.pdf, FoonoteEntry
Q7.25, Identify the footnotes in the paper http://ceur-ws.org/Vol-1746/paper-11.pdf, FoonoteEntry
Q7.26, Identify the footnotes in the paper http://ceur-ws.org/Vol-1749/paper_006.pdf, FoonoteEntry
Q7.27, Identify the footnotes in the paper http://ceur-ws.org/Vol-1758/paper1.pdf, FoonoteEntry
Q7.28, Identify the footnotes in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf, FoonoteEntry
Q7.29, Identify the footnotes in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf, FoonoteEntry
Q7.30, Identify the footnotes in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf, FoonoteEntry
Q7.31, Identify the footnotes in the paper http://ceur-ws.org/Vol-1755/79-84.pdf, FoonoteEntry
Q7.32, Identify the footnotes in the paper http://ceur-ws.org/Vol-1755/160-168.pdf, FoonoteEntry
Q7.33, Identify the footnotes in the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf, FoonoteEntry
Q7.34, Identify the footnotes in the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf, FoonoteEntry
Q7.35, Identify the footnotes in the paper http://ceur-ws.org/Vol-1760/paper1.pdf, FoonoteEntry
Q7.36, Identify the footnotes in the paper http://ceur-ws.org/Vol-1760/paper6.pdf, FoonoteEntry
Q7.37, Identify the footnotes in the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf, FoonoteEntry
Q7.38, Identify the footnotes in the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf, FoonoteEntry
Q7.39, Identify the footnotes in the paper http://ceur-ws.org/Vol-1769/paper01.pdf, FoonoteEntry
Q7.40, Identify the footnotes in the paper http://ceur-ws.org/Vol-1769/paper09.pdf, FoonoteEntry
Q8.1, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1006/paper2.pdf (or part of it), ProjectEntry
Q8.2, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf (or part of it), ProjectEntry
Q8.3, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper8.pdf (or part of it), ProjectEntry
Q8.4, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf (or part of it), ProjectEntry
Q8.5, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf (or part of it), ProjectEntry
Q8.6, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1500/paper3.pdf (or part of it), ProjectEntry
Q8.7, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper15.pdf (or part of it), ProjectEntry
Q8.8, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf (or part of it), ProjectEntry
Q8.9, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1116/paper8.pdf (or part of it), ProjectEntry
Q8.10, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1123/paper4.pdf (or part of it), ProjectEntry
Q8.11, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1123/paper5.pdf (or part of it), ProjectEntry
Q8.12, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1746/paper-13.pdf (or part of it), ProjectEntry
Q8.13, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf (or part of it), ProjectEntry
Q8.14, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf (or part of it), ProjectEntry
Q8.15, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1324/paper_4.pdf (or part of it), ProjectEntry
Q8.16, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1324/paper_10.pdf (or part of it), ProjectEntry
Q8.17, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1771/paper3.pdf (or part of it), ProjectEntry
Q8.18, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1771/paper13.pdf (or part of it), ProjectEntry
Q8.19, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1758/paper3.pdf (or part of it), ProjectEntry
Q8.20, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1749/paper_008.pdf (or part of it), ProjectEntry
Q8.21, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1116/paper6.pdf (or part of it), ProjectEntry
Q8.22, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1116/paper7.pdf (or part of it), ProjectEntry
Q8.23, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf (or part of it), ProjectEntry
Q8.24, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-06.pdf (or part of it), ProjectEntry
Q8.25, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1746/paper-11.pdf (or part of it), ProjectEntry
Q8.26, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1749/paper_006.pdf (or part of it), ProjectEntry
Q8.27, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1758/paper1.pdf (or part of it), ProjectEntry
Q8.28, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf (or part of it), ProjectEntry
Q8.29, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf (or part of it), ProjectEntry
Q8.30, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf (or part of it), ProjectEntry
Q8.31, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1755/79-84.pdf (or part of it), ProjectEntry
Q8.32, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1755/160-168.pdf (or part of it), ProjectEntry
Q8.33, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1503/06_pap_rosa.pdf (or part of it), ProjectEntry
Q8.34, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1522/Liebel2015HuFaMo.pdf (or part of it), ProjectEntry
Q8.35, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1760/paper1.pdf (or part of it), ProjectEntry
Q8.36, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1760/paper6.pdf (or part of it), ProjectEntry
Q8.37, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1766/om2016_poster2.pdf (or part of it), ProjectEntry
Q8.38, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1766/om2016_poster4.pdf (or part of it), ProjectEntry
Q8.39, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1769/paper01.pdf (or part of it), ProjectEntry
Q8.40, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1769/paper09.pdf (or part of it), ProjectEntry
